Time,Bus Voltage,Battery Voltage,Current,Power,Temperature,Humidity
1237.94,3.64,3.59,520.1,1898.0,22.6,33.5
1239.95,3.64,3.59,520.1,1894.0,22.6,33.5
1241.96,3.65,3.6,520.3,1898.0,22.6,33.5
1243.97,3.65,3.6,520.6,1900.0,22.6,33.4
1245.98,3.64,3.59,520.8,1900.0,22.6,33.7
1247.99,3.65,3.6,521.0,1898.0,22.6,33.5
1250.0,3.65,3.6,520.8,1898.0,22.6,33.7
1252.01,3.65,3.6,520.9,1898.0,22.6,33.7
1254.02,3.65,3.6,520.9,1900.0,22.6,33.7
1256.03,3.65,3.6,520.8,1900.0,22.6,33.7
1258.04,3.65,3.6,520.6,1898.0,22.6,33.6
1260.05,3.65,3.6,520.6,1900.0,22.6,33.4
1262.05,3.65,3.6,520.5,1898.0,22.6,33.6
1264.06,3.65,3.6,520.4,1898.0,22.6,33.7
1266.07,3.65,3.6,520.9,1900.0,22.6,33.6
1268.08,3.65,3.6,520.5,1898.0,22.6,33.6
1270.09,3.65,3.6,520.7,1900.0,22.6,33.6
1272.1,3.65,3.6,520.8,1900.0,22.6,33.6
1274.11,3.65,3.6,521.0,1900.0,22.6,33.6
1276.13,3.65,3.6,520.6,1898.0,22.6,33.6
1278.14,3.65,3.6,520.9,1898.0,22.6,33.5
1280.14,3.65,3.6,520.6,1900.0,22.6,33.5
1290.19,3.65,3.6,520.6,1900.0,22.6,33.5
1292.2,3.65,3.6,520.3,1898.0,22.6,33.3
1294.21,3.65,3.6,520.2,1898.0,22.6,33.6
1296.22,3.65,3.6,520.0,1900.0,22.6,33.2
1298.23,3.65,3.6,519.8,1898.0,22.6,33.4
1300.24,3.65,3.6,520.8,1900.0,22.6,33.4
1302.25,3.65,3.6,520.9,1904.0,22.6,33.5
1304.26,3.65,3.6,520.8,1900.0,22.6,33.6
